event_wave,PcP_classify,PKiKP_classify,PcP_predic_pick,PKiKP_predic_pick,PcP_manual_pick,PKiKP_manual_pick,PcP_cc_pcik,PKiKP_cc_pick,PcP_cc_max,PKiKP_cc_max,PcP_wave,PKiKP_wave,PcP_cc_wave,PKiKP_cc_wave
src/event_demo/2012-06-02-07-52-54.ZG.CP17.BHZ.sac,0,0,452.4519960711802,931.9151313169142,452.4519960711802,931.9151313169142,452.4519960711802,931.9151313169142,0.0,0.0,"[-9.93235635 -9.99163864 -9.88750289 ...  1.51346728  1.18284211
  0.84262846]",[1.88927004 1.74649023 1.54282391 ... 0.47166335 0.75739754 1.01815624],0,0
src/event_demo/2012-06-02-07-52-54.6D.TBHS.BHZ.sac,0,0,524.3793376475859,949.7904853221123,524.3793376475859,949.7904853221123,524.8193376475859,955.4704853221123,0.5702152687691278,0.32166602283735196,"[-1.48923758 -1.0698006  -0.63531225 ... -0.45168082  2.42137317
  5.20474174]","[ -6.95677885  -9.27672449 -11.18371906 ... -17.84155403 -14.1473131
 -10.16327311]","[-0.00071554 -0.00149152 -0.00229365 ...  0.00192038  0.00125602
  0.00060446]","[ 0.00082041  0.00175054  0.00275112 ... -0.00172097 -0.00112807
 -0.00054294]"
src/event_demo/2012-06-02-07-52-54.AW.VNA1.BHZ.sac,0,0,586.2141872897225,967.4743988741591,586.2141872897225,967.4743988741591,586.9141872897226,965.3143988741591,0.8391560626007686,0.476064550388162,"[-67.12638139 -60.5493799  -52.76198363 ...   7.72529244  10.57868236
  13.16642098]","[-6.53253445 -6.0857971  -5.47005869 ... -9.29295464 -9.08305434
 -8.6703615 ]","[ 1.40290765e-04  3.15957131e-04  5.22390171e-04 ...  2.74084041e-06
  1.04449115e-06 -7.33280926e-09]","[-1.35748547e-04 -2.18199105e-04 -2.42460515e-04 ... -4.67201555e-06
 -6.67944226e-06 -5.33920133e-06]"
